D4RL Score,Avg Reward,action0_a,action0_b,action1_a,action1_b,action2_a,action2_b,act_sum,steps,avg_steps,unsafe_height,unsafe_ang,total_unsafe,avg_act_sum,done_count,avg_step_rew
34.572911441520574,1104.928095807905,0,4,173,19,292,725,963,3388,338.8,9,1,10,96.38822995079681,10,3.2612989840847257
26.306041982382446,835.8768519002921,0,0,45,117,28,647,170,2519,251.9,2,8,10,17.048187052016146,10,3.3182884156422867
41.12483371340003,1318.1651435136205,1,27,459,5,464,760,1673,4364,436.4,7,3,10,167.37476420872844,10,3.02054340860133
52.768142728299594,1697.10505409811,6,53,749,23,770,1108,2206,5408,540.8,10,0,10,220.67403240245767,10,3.13813804382047
56.909839608221105,1831.8995737090845,14,54,654,130,701,1317,1513,5542,554.2,7,2,9,151.36873636287638,10,3.305484615137287
51.92910547113816,1669.7979798979025,9,49,820,62,802,1185,2414,5253,525.3,5,5,10,241.40327882203275,10,3.1787511515284645
62.11998308570633,2001.4674603780827,18,24,380,236,249,1375,711,5574,557.4,7,3,10,71.1370739764534,10,3.590720237492075
61.63427183898625,1985.659636660061,8,37,422,209,272,1366,726,5616,561.6,10,0,10,72.68287736740895,10,3.5357187262465475
80.37129211970819,2595.46950949867,17,62,843,268,725,1812,1672,7537,753.7,7,0,7,167.2889430028619,10,3.443637401484238
24.99255472258318,793.1284593131618,0,3,473,20,113,617,849,2732,273.2,10,0,10,84.98753471910022,10,2.9031056343819976
67.95976809984329,2191.5274861197245,41,72,350,322,118,1533,360,6064,606.4,6,0,6,36.05383131206035,10,3.6139965140496777
39.6695251644719,1270.8010745279082,18,20,379,104,134,912,804,3602,360.2,9,0,9,80.44172910153866,10,3.5280429609325603
60.339679793594556,1943.5262024880096,39,89,965,119,1002,1304,2333,5951,595.1,8,1,9,233.38249954201746,10,3.2658817047353548
26.870003318733794,854.231381364091,3,12,127,21,165,647,677,2529,252.9,9,1,10,67.79562507197261,10,3.377743698553148
109.29182021139461,3536.709007230442,184,124,409,664,155,2476,83,9599,959.9,2,0,2,8.387277036346495,10,3.6844556799983765
103.35612178711003,3343.527410205354,216,157,441,661,217,2278,334,9064,906.4,1,1,2,33.49957134588622,10,3.688798996254804
109.69775008086116,3549.9202883398225,110,126,563,637,146,2473,108,9699,969.9,1,0,1,10.846350399998482,10,3.6600889662231393
