D4RL Score,Avg Reward,action0_a,action0_b,action1_a,action1_b,action2_a,action2_b,act_sum,steps,avg_steps,unsafe_height,unsafe_ang,total_unsafe,avg_act_sum,done_count,avg_step_rew
56.28129862503284,1811.4432529446647,7,102,951,44,1119,1226,2398,5673,567.3,10,0,10,239.8136539879255,10,3.193095809879543
55.20974074752516,1776.568627031254,7,93,1007,48,1199,1239,2643,5619,561.9,10,0,10,264.3423640947789,10,3.161716723671924
53.555081266195096,1722.7165378098289,24,96,924,41,1232,1285,2239,5342,534.2,10,0,10,223.9829122142866,10,3.224853122070065
53.276780244302856,1713.6590298267922,3,90,903,30,1021,1137,2421,5534,553.4,10,0,10,242.1116888316348,10,3.0966010658236214
53.071179917587685,1706.9676185345306,8,68,911,39,951,1162,2433,5432,543.2,10,0,10,243.32562456410378,10,3.142429341926603
44.744193502199806,1435.9598248182047,8,72,769,33,841,962,1816,4592,459.2,10,0,10,181.66892157038674,10,3.127090210841038
41.079795930086334,1316.699356291107,9,60,721,36,749,951,1693,4237,423.7,10,0,10,169.39176015523262,10,3.1076217991293538
47.188405718150484,1515.5084786739621,18,73,1000,19,859,1033,1919,4717,471.7,10,0,10,191.99212656810414,10,3.212865123328306
52.82437049777828,1698.935027511283,10,82,1147,44,1156,1204,2416,5353,535.3,10,0,10,241.60497035514564,10,3.173799789858552
53.88325302243644,1733.397124901292,27,94,1286,48,1037,1245,2568,5431,543.1,10,0,10,256.83569755028003,10,3.1916721136094495
53.30979770444825,1714.7336069404987,10,86,1116,33,989,1180,2488,5404,540.4,10,0,10,248.8747813506052,10,3.173082174205216
51.04010051174114,1640.8646706992906,13,101,980,22,864,1194,2152,5088,508.8,10,0,10,215.24253647788427,10,3.224969871657411
58.24208355315047,1875.2584161757954,32,114,1102,34,1044,1312,2590,5894,589.4,10,0,10,259.06247345372105,10,3.181639660970131
50.20283760446379,1613.6153439990042,53,91,779,27,987,1163,2059,5014,501.4,10,0,10,205.93045181576161,10,3.2182196729138495
48.87493988205194,1570.3979524866622,12,68,758,34,976,1123,2027,4897,489.7,10,0,10,202.7022092348896,10,3.206857162521262
67.79007825608286,2186.0048074603,33,136,1186,43,1042,1564,3018,6789,678.9,9,0,9,301.8416051322594,10,3.219921648932538
