D4RL Score,Avg Reward,action0_a,action0_b,action1_a,action1_b,action2_a,action2_b,act_sum,steps,avg_steps,unsafe_height,unsafe_ang,total_unsafe,avg_act_sum,done_count,avg_step_rew
43.87816038023723,2015.930988398788,672,494,1987,3126,146,2171,11218,5041,504.1,10,0,10,1121.8108149915934,10,3.9990696060281454
41.49987462108241,1906.7517139464003,769,594,1830,2378,346,2070,10196,4889,488.9,9,1,10,1019.6014419786632,10,3.900085322042136
105.80547638449463,4858.810320330405,1506,1660,4304,6046,540,4673,22085,10000,1000.0,0,0,0,2208.5058990821244,10,4.858810320330405
11.03177131161894,508.0613335062686,321,150,593,847,50,776,2514,1570,157.0,10,0,10,251.44733775816857,10,3.2360594490845136
110.10101535785802,5056.004381930653,2435,1725,3951,5798,474,4139,21487,9871,987.1,1,0,1,2148.7863240934907,10,5.122079203657839
102.40208081793926,4702.571627313535,2230,1414,3805,5337,465,3967,20726,9294,929.4,3,0,3,2072.6212540542706,10,5.059793014109678
105.79768656738298,4858.452715455931,2383,1734,4021,5484,639,3929,21679,9752,975.2,2,0,2,2167.9183877445757,10,4.982006476062276
99.166730684737,4554.047347258985,1838,1206,3469,4601,544,4120,19772,9181,918.1,2,1,3,1977.2597568796948,10,4.960295553054117
88.75367264217718,4076.0181123190678,1670,1176,4198,5115,557,3782,19023,9044,904.4,1,1,2,1902.3821769982576,10,4.506875400618164
101.9096897650025,4679.967574079163,1920,1337,3725,4600,513,3897,20758,9524,952.4,1,0,1,2075.851978264004,10,4.9138676754296124
92.61072387479318,4253.082644401349,1914,1220,3532,4168,588,3982,18559,8432,843.2,4,3,7,1855.9499343790114,10,5.043978468217919
103.62976212437786,4758.930436922418,1671,1550,3831,4172,630,4346,20833,9628,962.8,1,0,1,2083.3525217951974,10,4.942802697260509
102.52560804535709,4708.242355909826,1888,1352,3819,4130,681,4551,20464,9573,957.3,2,0,2,2046.416096426081,10,4.918251703655935
104.02479077655968,4777.064902668217,2128,1413,3817,4438,583,4230,20765,9645,964.5,1,0,1,2076.5706587785853,10,4.952892589598981
97.92761858400043,4497.163787492109,2012,1371,3598,4564,565,4040,19482,8971,897.1,3,0,3,1948.2863032966852,10,5.013001658111815
109.12203093740787,5011.062428124848,1969,1362,3825,4512,544,4584,21348,10000,1000.0,0,0,0,2134.825189317204,10,5.011062428124848
86.1269212621088,3955.4325986823087,1784,1250,3174,3706,593,3705,16902,8081,808.1,4,3,7,1690.2190466766247,10,4.894731590994071
104.74170927516109,4809.976272219794,1978,1184,3720,4221,623,4446,20914,9560,956.0,1,0,1,2091.411022330797,10,5.031355933284304
107.37212645186372,4930.7300705192665,2220,1250,4165,4521,613,4467,20797,10000,1000.0,0,0,0,2079.7083901275882,10,4.9307300705192665
96.08679290978813,4412.657537252757,1615,1125,3287,3896,568,4168,18411,8870,887.0,3,0,3,1841.1807046528907,10,4.974811203216185
107.56441057049888,4939.557201775674,2118,1367,3889,4884,700,4173,21697,9731,973.1,2,0,2,2169.751115753362,10,5.076104410415861
109.10345898099865,5010.209850709324,2016,1199,3703,4997,629,4445,21252,10000,1000.0,0,0,0,2125.2365516605087,10,5.010209850709324
109.4199771077273,5024.7401565374785,1905,1588,4025,4331,785,4660,21833,10000,1000.0,0,0,0,2183.311290829256,10,5.0247401565374785
110.80923830158025,5088.516567166798,1967,1362,3780,4500,800,4800,22335,10000,1000.0,0,0,0,2233.565014983248,10,5.088516567166798
104.32954518010209,4791.055174668481,2118,1454,3669,4395,581,4209,21143,9595,959.5,1,0,1,2114.3732239396313,10,4.993283141916083
107.90304223311861,4955.102667281286,1914,1381,3555,4231,641,4478,21479,10000,1000.0,0,0,0,2147.986560933944,10,4.9551026672812855
111.3562925558789,5113.630028129388,1626,1249,3929,4691,784,4638,22860,10000,1000.0,0,0,0,2286.0435982046647,10,5.113630028129388
111.03208519861631,5098.746735025605,1629,1215,3687,4248,712,4751,22396,10000,1000.0,0,0,0,2239.638823491521,10,5.098746735025605
111.31334062756797,5111.658246415914,1551,1038,3589,3600,577,4658,22047,10000,1000.0,0,0,0,2204.7410137422385,10,5.111658246415914
110.50004528586257,5074.322533084956,1727,1448,3642,4344,784,4763,22533,10000,1000.0,0,0,0,2253.3400374073535,10,5.074322533084956
110.35147382405748,5067.50210608548,1784,1056,3434,4303,600,4832,21803,10000,1000.0,0,0,0,2180.3154822710203,10,5.06750210608548
110.42260116212594,5070.767328161571,1567,1406,3695,4450,718,4818,21998,10000,1000.0,0,0,0,2199.837187946029,10,5.070767328161571
110.3097600209151,5065.587162624963,1821,1064,3724,4430,713,4639,22044,10000,1000.0,0,0,0,2204.4090206522496,10,5.065587162624962
110.32185329934269,5066.142325249721,1307,1064,3326,3611,583,4516,22102,10000,1000.0,0,0,0,2210.2992861032485,10,5.066142325249721
111.23584542189553,5108.100696488918,1618,942,3752,4900,683,4819,22818,10000,1000.0,0,0,0,2281.889178190194,10,5.108100696488918
112.22283834717884,5153.410294402991,1947,1137,3779,4888,801,4832,22543,10000,1000.0,0,0,0,2254.30309476275,10,5.153410294402991
109.52513039288038,5029.567397896136,1508,1273,3716,4243,812,4861,22132,10000,1000.0,0,0,0,2213.252479662234,10,5.029567397896136
110.42350969188152,5070.809035773515,1572,1105,3482,4232,619,4518,21983,10000,1000.0,0,0,0,2198.334810640337,10,5.0708090357735145
110.69893830985991,5083.4530574427135,1816,1065,3721,4041,690,4716,22352,10000,1000.0,0,0,0,2235.210854979232,10,5.083453057442714
110.28971505345457,5064.666964118396,1885,1107,3439,4484,797,4652,21928,10000,1000.0,0,0,0,2192.8150107501074,10,5.064666964118397
110.303327333695,5065.291859118744,1640,956,3448,3921,565,4189,21391,10000,1000.0,0,0,0,2139.1532847378403,10,5.0652918591187435
110.71105821532363,5084.009442427096,1507,1142,3496,4025,743,4398,21909,10000,1000.0,0,0,0,2190.9616216599943,10,5.084009442427096
110.92028123117163,5093.614182724217,1564,964,3521,4611,630,4519,22042,10000,1000.0,0,0,0,2204.249287530221,10,5.093614182724218
110.13729537933116,5057.6698783523125,1717,1084,3518,4538,750,4642,22497,10000,1000.0,0,0,0,2249.740926435962,10,5.057669878352312
109.52138609655381,5029.395509570818,1409,975,3176,3726,713,4167,21136,10000,1000.0,0,0,0,2113.6074364905244,10,5.0293955095708185
110.6398017972844,5080.7382947142305,1179,1131,3558,4344,773,4683,22416,10000,1000.0,0,0,0,2241.691357038845,10,5.08073829471423
110.68911223835039,5083.001974828273,1167,997,3491,4055,644,4739,22503,10000,1000.0,0,0,0,2250.382897545397,10,5.083001974828273
109.13207963151632,5011.523730610361,1538,949,3470,4062,461,4373,21917,10000,1000.0,0,0,0,2191.7119347242638,10,5.011523730610361
110.13921780107118,5057.758130409476,1287,1065,3340,4431,546,4663,22258,10000,1000.0,0,0,0,2225.8011908044573,10,5.057758130409475
109.87562643927554,5045.657518226104,1332,1033,3669,4319,514,4683,22359,10000,1000.0,0,0,0,2235.9076391681797,10,5.045657518226104
111.06418353308325,5100.220263954894,1418,1201,3542,4629,751,4512,22362,10000,1000.0,0,0,0,2236.2145721187817,10,5.100220263954895
109.01593934685303,5006.192112252296,1341,1083,3392,3895,531,4534,22530,10000,1000.0,0,0,0,2253.097202735394,10,5.006192112252296
110.18575417182046,5059.894462082192,1349,1059,3629,4379,704,4661,22355,10000,1000.0,0,0,0,2235.5548184160143,10,5.059894462082192
