D4RL Score,Avg Reward,action0_a,action0_b,action1_a,action1_b,action2_a,action2_b,act_sum,steps,avg_steps,unsafe_height,unsafe_ang,total_unsafe,avg_act_sum,done_count,avg_step_rew
63.017644403311024,2894.561729464511,1703,891,4154,5176,72,3741,16914,7666,766.6,7,2,9,1691.4360589642079,10,3.7758436335305383
59.72313504377033,2743.321643967351,1362,600,3681,5361,246,3178,17038,7724,772.4,6,0,6,1703.8341296344995,10,3.551685194157627
44.706803551510006,2053.9712700895957,778,382,2901,3602,231,2114,11624,5723,572.3,6,0,6,1162.424810270965,10,3.5889765334432915
31.386267572212518,1442.469288909063,671,598,2209,3095,407,2431,10539,4776,477.6,8,0,8,1053.9541878789664,10,3.0202455797928454
31.40855175078045,1443.4922822303865,961,709,2115,2373,731,1682,8784,4472,447.2,10,0,10,878.4348604619503,10,3.2278449960429034
17.034332919838082,783.6191880317135,901,174,1369,793,839,1802,7871,3961,396.1,8,0,8,787.1922102972865,10,1.9783367534251795
24.255751829494564,1115.1307711281163,809,203,1206,1222,1017,1394,9512,4626,462.6,7,0,7,951.2319123916328,10,2.4105723543625515
52.21570986229954,2398.680453915468,1432,747,3125,4165,214,2592,12665,6451,645.1,8,0,8,1266.554395564273,10,3.7183079428235444
75.29233036500365,3458.0521772670304,1861,729,4507,5937,434,3822,18920,9325,932.5,3,0,3,1892.0589828986674,10,3.7083669461308637
67.64749733453894,3107.1030449506525,1920,643,3967,5146,493,3048,18068,10000,1000.0,0,0,0,1806.845933310315,10,3.1071030449506525
40.59295942876259,1865.1182212905333,1245,861,4858,2529,338,1941,13759,9214,921.4,4,0,4,1375.9706932138652,10,2.024222076503726
31.044027579599003,1426.7581768451314,709,434,1295,1626,197,1191,12071,8821,882.1,2,0,2,1207.1144893316552,10,1.6174562712222327
16.865463134723445,775.8669317922031,2010,2230,299,327,117,2049,15208,7645,764.5,3,0,3,1520.804138464108,10,1.0148684523115803
39.925843088970005,1834.493104996783,2796,826,2980,2044,241,2712,17991,10000,1000.0,0,0,0,1799.1785796854645,10,1.8344931049967828
31.335274127527796,1440.1283476360998,2918,2315,1242,1345,208,3238,21957,10000,1000.0,0,0,0,2195.7552362047136,10,1.4401283476360998
23.44864705774023,1078.0792464961426,3114,4448,902,520,126,3233,22010,10000,1000.0,0,0,0,2201.0725340291856,10,1.0780792464961426
76.08725564401206,3494.5445814585446,2027,1101,4709,5470,501,3160,21926,10000,1000.0,0,0,0,2192.6092780215668,10,3.4945445814585443
74.65543331440495,3428.8143291162924,1620,1175,3902,5227,351,2850,21242,10000,1000.0,0,0,0,2124.2783033233136,10,3.4288143291162925
78.49142871067717,3604.9122570274167,1881,795,4432,5208,394,3056,21135,10000,1000.0,0,0,0,2113.522332668491,10,3.6049122570274164
77.77144249492916,3571.860058674674,1788,745,4726,5963,378,3376,19665,9570,957.0,2,0,2,1966.5819738451391,10,3.7323511584897324
70.02310551031424,3216.1594003595496,1659,797,4210,5077,449,2956,17498,8569,856.9,5,0,5,1749.897540833801,10,3.7532493877460027
80.64534565056105,3703.79149717844,2318,1024,5506,5747,581,3515,21699,9575,957.5,2,0,2,2169.924161214568,10,3.868189553188971
78.1605624996956,3589.7232778575562,2029,854,4714,5283,485,3412,20167,9609,960.9,1,0,1,2016.7464248739184,10,3.735792775374707
77.19351518517931,3545.3293173111415,2061,982,5176,5432,561,3143,20671,9536,953.6,1,0,1,2067.136494550295,10,3.7178369518782945
81.46802576024082,3741.558034330463,2258,848,5225,5807,468,3408,20972,9903,990.3,0,1,1,2097.291581497714,10,3.778206638726106
81.51253484288803,3743.6012998763536,2497,832,5130,5927,492,3414,20878,9943,994.3,1,0,1,2087.8532987777144,10,3.7650621541550375
82.19301111345884,3774.839726636891,2129,1082,5223,5979,645,3403,21698,10000,1000.0,0,0,0,2169.8813089512287,10,3.774839726636891
84.97279669927875,3902.4505371649234,2679,1073,5528,6228,572,3567,21439,9943,994.3,1,0,1,2143.9340979592876,10,3.9248220226942805
78.42752574269679,3601.9786820133136,2363,1078,5198,5328,491,3470,19828,9289,928.9,2,0,2,1982.8589041505008,10,3.8776818624322464
82.30617663021765,3780.034783187685,2238,1147,5640,5967,550,3589,21902,10000,1000.0,0,0,0,2190.204741891846,10,3.7800347831876855
79.82811667545037,3666.2752036798156,2210,881,5110,5689,586,3480,20268,9548,954.8,1,0,1,2026.891098577343,10,3.839835780980117
69.97741732088167,3214.0620059004987,1908,844,4351,5380,410,2924,16787,8343,834.3,5,0,5,1678.765487136133,10,3.8524056165653824
81.38993401617813,3737.9730992886302,2140,1013,5301,6070,465,3837,19915,9545,954.5,2,0,2,1991.5954180156812,10,3.9161583020310426
